Date,Open,High,Low,Close,Volume
1970-01-02,92.06,93.54,91.79,93,4472222
1970-01-05,93,94.25,92.53,93.46,6383333
1970-01-06,93.46,93.81,92.13,92.82,6366667
1970-01-07,92.82,93.38,91.93,92.63,5561111
1970-01-08,92.63,93.47,91.99,92.68,5927778
1970-01-09,92.68,93.25,91.82,92.4,5211111
1970-01-12,92.4,92.67,91.2,91.7,4944444
1970-01-13,91.7,92.61,90.99,91.92,5483333
1970-01-14,91.92,92.4,90.88,91.65,5766667
1970-01-15,91.65,92.35,90.73,91.68,6177778
1970-01-16,91.68,92.49,90.36,90.92,6633333
1970-01-19,90.72,90.72,89.14,89.65,5277778
1970-01-20,89.65,90.45,88.64,89.83,6138889
1970-01-21,89.83,90.61,89.2,89.95,5488889
1970-01-22,89.95,90.8,89.2,90.04,6138889
1970-01-23,90.04,90.45,88.74,89.37,6111111
1970-01-26,89.23,89.23,87.49,88.17,5927778
1970-01-27,88.17,88.54,86.92,87.62,5350000
1970-01-28,87.62,88.24,86.44,86.79,5838889
1970-01-29,86.79,87.09,85.02,85.69,6783333
1970-01-30,85.69,86.33,84.42,85.02,6844444
1970-02-02,85.02,86.76,84.76,85.75,7466667
1970-02-03,85.75,87.54,84.64,86.77,8916667
1970-02-04,86.77,87.66,85.59,86.24,6133333
1970-02-05,86.24,86.62,84.95,85.9,5238889
1970-02-06,85.9,86.88,85.23,86.33,5638889
1970-02-09,86.33,87.85,86.16,87.01,6016667
1970-02-10,87.01,87.4,85.58,86.1,5616667
1970-02-11,86.1,87.38,85.3,86.94,6811111
1970-02-12,86.94,87.54,85.93,86.73,5561111
1970-02-13,86.73,87.3,85.71,86.54,6144444
1970-02-16,86.54,87.3,85.8,86.47,10988889
1970-02-17,86.47,87.08,85.57,86.37,5633333
1970-02-18,86.37,88.07,86.19,87.44,6638889
1970-02-19,87.44,88.7,86.94,87.76,7161111
1970-02-20,87.76,88.74,86.87,88.03,5994444
1970-02-24,88.03,88.91,87.28,87.99,6005556
1970-02-25,87.99,89.8,87.11,89.35,7338889
1970-02-26,89.35,89.63,87.63,88.9,6411111
1970-02-27,88.9,90.33,88.42,89.5,7161111
1970-03-02,89.5,90.8,88.92,89.71,6816667
1970-03-03,89.71,90.67,88.96,90.23,6500000
1970-03-04,90.23,91.05,89.32,90.04,6583333
1970-03-05,90.04,90.99,89.38,90,6316667
1970-03-06,90,90.36,88.84,89.44,6100000
1970-03-09,89.43,89.43,87.94,88.51,5422222
1970-03-10,88.51,89.41,87.89,88.75,5250000
1970-03-11,88.75,89.58,88.11,88.69,5100000
1970-03-12,88.69,89.09,87.68,88.33,5077778
1970-03-13,88.33,89.43,87.29,87.86,5311111
1970-03-16,87.86,87.97,86.39,86.91,4950000
1970-03-17,86.91,87.86,86.36,87.29,5050000
1970-03-18,87.29,88.28,86.93,87.54,5438889
1970-03-19,87.54,88.2,86.88,87.42,4961111
1970-03-20,87.42,87.77,86.43,87.06,4394444
1970-03-23,87.06,87.64,86.19,86.99,4072222
1970-03-24,86.99,88.43,86.9,87.98,4911111
1970-03-25,88.11,91.07,88.11,89.77,9722222
1970-03-26,89.77,90.65,89.18,89.92,6305556
1970-03-30,89.92,90.41,88.91,89.63,5333333
1970-03-31,89.63,90.17,88.85,89.63,4650000
1970-04-01,89.63,90.62,89.3,90.07,5450000
1970-04-02,90.07,90.7,89.28,89.79,5844444
1970-04-03,89.79,90.16,88.81,89.39,5511111
1970-04-06,89.39,89.61,88.15,88.76,4655556
1970-04-07,88.76,89.31,87.94,88.52,4716667
1970-04-08,88.52,89.09,87.83,88.49,5038889
1970-04-09,88.49,89.32,87.96,88.53,5033333
1970-04-10,88.53,89.14,87.82,88.24,5566667
1970-04-13,88.24,88.67,87.15,87.64,4894444
1970-04-14,87.64,87.73,86.01,86.89,6022222
1970-04-15,86.89,87.71,86.53,86.73,5227778
1970-04-16,86.73,87.13,85.51,85.88,5694444
1970-04-17,85.88,86.36,84.75,85.67,6105556
1970-04-20,85.67,86.36,84.99,85.83,4600000
1970-04-21,85.83,86.54,84.99,85.38,4716667
1970-04-22,85.38,85.51,83.84,84.27,5988889
1970-04-23,84.27,84.3,82.61,83.04,6138889
1970-04-24,83.04,83.62,81.96,82.77,5783333
1970-04-27,82.77,83.08,81.08,81.46,5688889
1970-04-28,81.46,82.16,79.86,80.27,7011111
1970-04-29,80.27,83.23,79.31,81.81,8777778
1970-04-30,81.81,82.57,80.76,81.52,5488889
1970-05-01,81.52,82.32,80.27,81.44,4605556
1970-05-04,81.28,81.28,78.85,79.37,6361111
1970-05-05,79.37,79.83,78.02,78.6,5877778
1970-05-06,78.6,80.91,78.23,79.47,7988889
1970-05-07,79.47,80.6,78.89,79.83,5294444
1970-05-08,79.83,80.15,78.71,79.44,3850000
1970-05-11,79.44,79.72,78.29,78.6,3694444
1970-05-12,78.6,79.15,77.06,77.85,6027778
1970-05-13,77.75,77.75,75.92,76.53,5955556
1970-05-14,76.53,76.64,74.03,75.44,7733333
1970-05-15,75.44,77.42,74.59,76.9,8094444
1970-05-18,76.9,77.68,76.07,76.96,4600000
1970-05-19,76.96,77.2,75.21,75.46,5266667
1970-05-20,75.35,75.35,73.25,73.52,7233333
1970-05-21,73.51,73.51,70.94,72.16,9283333
1970-05-22,72.16,73.42,71.42,72.25,6761111
1970-05-25,72.16,72.16,69.92,70.25,7033333
1970-05-26,70.25,71.17,68.61,69.29,9461111
1970-05-27,69.37,73.22,69.37,72.77,9700000
1970-05-28,72.77,75.44,72.59,74.61,10505556
1970-05-29,74.61,76.92,73.53,76.55,8127778
1970-06-01,76.55,78.4,75.84,77.84,8344444
1970-06-02,77.84,78.73,76.51,77.84,7488889
1970-06-03,77.84,79.22,76.97,78.52,9222222
1970-06-04,78.52,79.42,76.99,77.36,7988889
1970-06-05,77.36,77.48,75.25,76.17,6916667
1970-06-08,76.17,77.37,75.3,76.29,4466667
1970-06-09,76.29,79.96,75.58,76.25,3916667
1970-06-10,76.25,76.62,74.92,75.48,4022222
1970-06-11,75.48,75.52,73.96,74.45,4316667
1970-06-12,74.45,74.84,73.25,73.88,4938889
1970-06-15,73.88,75.27,73.67,74.58,3844444
1970-06-16,74.58,76.76,74.21,76.15,6294444
1970-06-17,76.15,78.04,75.63,76,5483333
1970-06-18,76,77.17,74.99,76.51,4927778
1970-06-19,76.51,78.05,76.31,77.05,6100000
1970-06-22,77.05,77.43,75.61,76.64,4833333
1970-06-23,76.64,76.83,74.52,74.76,5994444
1970-06-24,74.76,75.42,73.4,73.97,7016667
1970-06-25,73.97,74.93,73.3,74.02,4555556
1970-06-26,74.02,74.68,73.09,73.47,5088889
1970-06-29,73.47,73.86,72.34,72.89,4872222
1970-06-30,72.89,73.89,72.25,72.72,5155556
1970-07-01,72.72,73.66,72.11,72.94,4783333
1970-07-02,72.94,73.92,72.43,72.92,4688889
1970-07-06,72.92,73.12,71.38,71.78,5188889
1970-07-07,71.78,72.32,70.69,71.23,5816667
1970-07-08,71.23,73.3,70.99,73,6094444
1970-07-09,73,74.77,72.88,74.06,7122222
1970-07-10,74.06,75.21,73.49,74.45,5644444
1970-07-13,74.45,75.37,73.83,74.55,4138889
1970-07-14,74.55,75.04,73.78,74.42,4088889
1970-07-15,74.42,75.68,74.06,75.23,4922222
1970-07-16,75.23,77.09,75.12,76.34,6777778
1970-07-17,76.37,78.23,76.37,77.69,7705556
1970-07-20,77.69,78.72,77.04,77.79,6477778
1970-07-21,77.79,77.94,76.39,76.98,5522222
1970-07-22,76.98,78.2,76.22,77.03,6922222
1970-07-23,77.03,78.51,76.46,78,6922222
1970-07-24,78,78.48,76.96,77.82,5288889
1970-07-27,77.82,78.27,77.07,77.65,4144444
1970-07-28,77.65,78.35,76.96,77.77,5022222
1970-07-29,77.77,78.81,77.28,78.04,6988889
1970-07-30,78.04,78.66,77.36,78.07,5794444
1970-07-31,78.07,79.03,77.44,78.05,6466667
1970-08-03,78.05,78.24,76.56,77.02,4250000
1970-08-04,77.02,77.56,76.12,77.19,4616667
1970-08-05,77.19,77.86,76.59,77.18,4255556
1970-08-06,77.18,77.68,76.39,77.08,4200000
1970-08-07,77.08,78.09,76.46,77.28,5205556
1970-08-10,77.28,77.4,75.72,76.2,4211111
1970-08-11,76.2,76.33,75.16,75.82,4072222
1970-08-12,75.82,76.24,75.04,75.42,4133333
1970-08-13,75.42,75.69,74.13,74.76,4800000
1970-08-14,74.76,75.74,74.39,75.18,4361111
1970-08-17,75.18,75.79,74.52,75.33,3855556
